AAEXERCICIO,CD_MENSAL,NR_EMPENHO,NR_REALIZADA,NR_ACUMULADO,CD_PAI,NR_NIVEL
"RELACOES EXTERIORES",2008,2,0.00,22482.99,23179.54,"DESPESA",2
"SAUDE",2008,2,0.00,146262048.50,213501730.92,"DESPESA",2
"SEGURANCA PUBLICA",2008,2,0.00,107159070.46,419216988.63,"DESPESA",2
"TRABALHO",2008,2,0.00,1000148.90,1011454.19,"DESPESA",2
"TRANSPORTE",2008,2,0.00,21367423.60,34381383.81,"DESPESA",2
"URBANISMO",2008,2,0.00,545524.08,945564.85,"DESPESA",2
"ADMINISTRACAO",2008,3,0.00,71617080.89,211906253.57,"DESPESA",2
"AGRICULTURA",2008,3,0.00,24252127.81,67605517.43,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,3,0.00,4957042.13,12164085.70,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,3,0.00,11484867.63,23063326.40,"DESPESA",2
"COMERCIO E SERVICOS",2008,3,0.00,12411463.35,30108724.95,"DESPESA",2
"COMUNICACOES",2008,3,0.00,37328153.14,38033396.39,"DESPESA",2
"CULTURA",2008,3,0.00,6210387.45,16856853.87,"DESPESA",2
"DESPORTO E LAZER",2008,3,0.00,1980219.64,6669921.14,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,3,0.00,178763.11,437558.21,"DESPESA",2
"EDUCACAO",2008,3,0.00,292652464.30,880394773.42,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,3,0.00,890357400.33,2871329312.71,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,3,0.00,100701853.02,198417688.17,"DESPESA",2
"GESTAO AMBIENTAL",2008,3,0.00,10963968.09,24768214.90,"DESPESA",2
"HABITACAO",2008,3,0.00,2499794.87,4612083.49,"DESPESA",2
"INDUSTRIA",2008,3,0.00,15206390.17,37271509.69,"DESPESA",2
"JUDICIARIA",2008,3,0.00,154660309.79,504800362.67,"DESPESA",2
"LEGISLATIVA",2008,3,0.00,67113498.52,189585498.35,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,3,0.00,583798.44,1510121.92,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,3,0.00,330273524.54,963577843.94,"DESPESA",2
"RELACOES EXTERIORES",2008,3,0.00,43074.78,66254.32,"DESPESA",2
"SANEAMENTO",2008,3,0.00,1367591.77,1367591.77,"DESPESA",2
"SAUDE",2008,3,0.00,230005941.23,443507672.15,"DESPESA",2
"SEGURANCA PUBLICA",2008,3,0.00,559103868.86,978320857.49,"DESPESA",2
"TRABALHO",2008,3,0.00,1833457.25,2844911.44,"DESPESA",2
"TRANSPORTE",2008,3,0.00,49075275.52,83456659.33,"DESPESA",2
"URBANISMO",2008,3,0.00,431517.68,1377082.53,"DESPESA",2
"ADMINISTRACAO",2008,4,0.00,77188541.78,289094795.35,"DESPESA",2
"AGRICULTURA",2008,4,0.00,25455591.58,93061109.01,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,4,0.00,9600916.78,21765002.48,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,4,0.00,15491319.22,38554645.62,"DESPESA",2
"COMERCIO E SERVICOS",2008,4,0.00,12021570.90,42130295.85,"DESPESA",2
"COMUNICACOES",2008,4,0.00,38620143.02,76653539.41,"DESPESA",2
"CULTURA",2008,4,0.00,3403267.47,20260121.34,"DESPESA",2
"DESPORTO E LAZER",2008,4,0.00,4174961.19,10844882.33,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,4,0.00,775406.01,1212964.22,"DESPESA",2
"EDUCACAO",2008,4,0.00,338610262.15,1219005035.57,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,4,0.00,966467839.98,3837797152.69,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,4,0.00,63902873.23,262320561.40,"DESPESA",2
"GESTAO AMBIENTAL",2008,4,0.00,25012734.37,49780949.27,"DESPESA",2
"HABITACAO",2008,4,0.00,3722569.91,8334653.40,"DESPESA",2
"INDUSTRIA",2008,4,0.00,19722048.56,56993558.25,"DESPESA",2
"JUDICIARIA",2008,4,0.00,158619263.50,663419626.17,"DESPESA",2
"LEGISLATIVA",2008,4,0.00,68244733.19,257830231.54,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,4,0.00,550375.63,2060497.55,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,4,0.00,368905073.31,1332482917.25,"DESPESA",2
"RELACOES EXTERIORES",2008,4,0.00,10611.61,76865.93,"DESPESA",2
"SANEAMENTO",2008,4,0.00,5494235.73,6861827.50,"DESPESA",2
"SAUDE",2008,4,0.00,219926802.45,663434474.60,"DESPESA",2
"SEGURANCA PUBLICA",2008,4,0.00,385662520.15,1363983377.64,"DESPESA",2
"TRABALHO",2008,4,0.00,2533948.90,5378860.34,"DESPESA",2
"TRANSPORTE",2008,4,0.00,64162645.54,147619304.87,"DESPESA",2
"URBANISMO",2008,4,0.00,572591.09,1949673.62,"DESPESA",2
"ADMINISTRACAO",2008,5,0.00,133514717.70,422609513.05,"DESPESA",2
"AGRICULTURA",2008,5,0.00,32396710.50,125457819.51,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,5,0.00,6369559.86,28134562.34,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,5,0.00,17487119.98,56041765.60,"DESPESA",2
"COMERCIO E SERVICOS",2008,5,0.00,12881805.24,55012101.09,"DESPESA",2
"COMUNICACOES",2008,5,0.00,425980.98,77079520.39,"DESPESA",2
"CULTURA",2008,5,0.00,7071805.55,27331926.89,"DESPESA",2
"DESPORTO E LAZER",2008,5,0.00,4575599.97,15420482.30,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,5,0.00,678330.02,1891294.24,"DESPESA",2
"EDUCACAO",2008,5,0.00,348269521.48,1567274557.05,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,5,0.00,728728325.88,4566525478.57,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,5,0.00,65027162.07,327347723.47,"DESPESA",2
"GESTAO AMBIENTAL",2008,5,0.00,18187952.97,67968902.24,"DESPESA",2
"HABITACAO",2008,5,0.00,5753680.91,14088334.31,"DESPESA",2
"INDUSTRIA",2008,5,0.00,12970105.76,69963664.01,"DESPESA",2
"JUDICIARIA",2008,5,0.00,223639927.71,887059553.88,"DESPESA",2
"LEGISLATIVA",2008,5,0.00,72712329.78,330542561.32,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,5,0.00,740017.02,2800514.57,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,5,0.00,412170832.90,1744653750.15,"DESPESA",2
"RELACOES EXTERIORES",2008,5,0.00,10038.98,86904.91,"DESPESA",2
"SANEAMENTO",2008,5,0.00,2896527.16,9758354.66,"DESPESA",2
"SAUDE",2008,5,0.00,293184043.90,956618518.50,"DESPESA",2
"SEGURANCA PUBLICA",2008,5,0.00,344801610.40,1708784988.04,"DESPESA",2
"TRABALHO",2008,5,0.00,4955990.52,10334850.86,"DESPESA",2
"TRANSPORTE",2008,5,0.00,62426323.12,210045627.99,"DESPESA",2
"URBANISMO",2008,5,0.00,476176.58,2425850.20,"DESPESA",2
"ADMINISTRACAO",2008,6,0.00,183599848.61,606209361.66,"DESPESA",2
"AGRICULTURA",2008,6,0.00,29199762.63,154657582.14,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,6,0.00,20639983.83,48774546.17,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,6,0.00,13322443.50,69364209.10,"DESPESA",2
"COMERCIO E SERVICOS",2008,6,0.00,30133470.26,85145571.35,"DESPESA",2
"COMUNICACOES",2008,6,0.00,386876.23,77466396.62,"DESPESA",2
"CULTURA",2008,6,0.00,4473860.61,31805787.50,"DESPESA",2
"DESPORTO E LAZER",2008,6,0.00,9836213.08,25256695.38,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,6,0.00,809748.19,2701042.43,"DESPESA",2
"EDUCACAO",2008,6,0.00,370037889.91,1937312446.96,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,6,0.00,880169737.98,5446695216.55,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,6,0.00,68264517.55,395612241.02,"DESPESA",2
"GESTAO AMBIENTAL",2008,6,0.00,24529420.12,92498322.36,"DESPESA",2
"HABITACAO",2008,6,0.00,8097857.18,22186191.49,"DESPESA",2
"INDUSTRIA",2008,6,0.00,24247161.75,94210825.76,"DESPESA",2
"JUDICIARIA",2008,6,0.00,173683710.20,1060743264.08,"DESPESA",2
"LEGISLATIVA",2008,6,0.00,75949595.80,406492157.12,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,6,0.00,616637.37,3417151.94,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,6,0.00,362058566.62,2106712316.77,"DESPESA",2
"RELACOES EXTERIORES",2008,6,0.00,4749.96,91654.87,"DESPESA",2
"SANEAMENTO",2008,6,0.00,1983177.13,11741531.79,"DESPESA",2
"SAUDE",2008,6,0.00,320272126.89,1276890645.39,"DESPESA",2
"SEGURANCA PUBLICA",2008,6,0.00,366410112.91,2075195100.95,"DESPESA",2
"TRABALHO",2008,6,0.00,366481.92,10701332.78,"DESPESA",2
"TRANSPORTE",2008,6,0.00,175196465.89,385242093.88,"DESPESA",2
"URBANISMO",2008,6,0.00,911493.00,3337343.20,"DESPESA",2
"ADMINISTRACAO",2008,7,0.00,168957391.79,775166753.45,"DESPESA",2
"AGRICULTURA",2008,7,0.00,27159920.77,181817502.91,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,7,0.00,13478579.98,62253126.15,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,7,0.00,31200228.31,100564437.41,"DESPESA",2
"COMERCIO E SERVICOS",2008,7,0.00,26692942.65,111838514.00,"DESPESA",2
"COMUNICACOES",2008,7,0.00,352496.55,77818893.17,"DESPESA",2
"CULTURA",2008,7,0.00,9959671.51,41765459.01,"DESPESA",2
"DESPORTO E LAZER",2008,7,0.00,7139426.99,32396122.37,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,7,0.00,3334145.76,6035188.19,"DESPESA",2
"EDUCACAO",2008,7,0.00,395124136.44,2332436583.40,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,7,0.00,798402869.11,6245098085.66,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,7,0.00,109146513.07,504758754.09,"DESPESA",2
"GESTAO AMBIENTAL",2008,7,0.00,19300027.35,111798349.71,"DESPESA",2
"HABITACAO",2008,7,0.00,10491033.79,32677225.28,"DESPESA",2
"INDUSTRIA",2008,7,0.00,35134232.19,129345057.95,"DESPESA",2
"JUDICIARIA",2008,7,0.00,215744016.25,1276487280.33,"DESPESA",2
"LEGISLATIVA",2008,7,0.00,99266218.28,505758375.40,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,7,0.00,1076593.27,4493745.21,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,7,0.00,346958148.01,2453670464.78,"DESPESA",2
"RELACOES EXTERIORES",2008,7,0.00,195555.94,287210.81,"DESPESA",2
"SANEAMENTO",2008,7,0.00,1232188.00,12973719.79,"DESPESA",2
"SAUDE",2008,7,0.00,304247403.96,1581138049.35,"DESPESA",2
"SEGURANCA PUBLICA",2008,7,0.00,362903206.47,2438098307.42,"DESPESA",2
"TRABALHO",2008,7,0.00,777785.55,11479118.33,"DESPESA",2
"TRANSPORTE",2008,7,0.00,109100148.32,494342242.20,"DESPESA",2
"URBANISMO",2008,7,0.00,14619503.98,17956847.18,"DESPESA",2
"ADMINISTRACAO",2008,8,0.00,108291140.93,883457894.38,"DESPESA",2
"AGRICULTURA",2008,8,0.00,26892690.82,208710193.73,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,8,0.00,9540972.06,71794098.21,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,8,0.00,12281516.97,112845954.38,"DESPESA",2
"COMERCIO E SERVICOS",2008,8,0.00,15249909.04,127088423.04,"DESPESA",2
"COMUNICACOES",2008,8,0.00,379414.45,78198307.62,"DESPESA",2
"CULTURA",2008,8,0.00,7678905.00,49444364.01,"DESPESA",2
"DESPORTO E LAZER",2008,8,0.00,3316970.04,35713092.41,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,8,0.00,437929.53,6473117.72,"DESPESA",2
"EDUCACAO",2008,8,0.00,502467615.48,2834904198.88,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,8,0.00,592551581.73,6837649667.39,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,8,0.00,78920695.49,583679449.58,"DESPESA",2
"GESTAO AMBIENTAL",2008,8,0.00,26198868.46,137997218.17,"DESPESA",2
"HABITACAO",2008,8,0.00,11031023.29,43708248.57,"DESPESA",2
"INDUSTRIA",2008,8,0.00,41416838.88,170761896.83,"DESPESA",2
"JUDICIARIA",2008,8,0.00,156660019.23,1433147299.56,"DESPESA",2
"LEGISLATIVA",2008,8,0.00,85205346.05,590963721.45,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,8,0.00,1043326.70,5537071.91,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,8,0.00,370435997.10,2824106461.88,"DESPESA",2
"RELACOES EXTERIORES",2008,8,0.00,17410.75,304621.56,"DESPESA",2
"SANEAMENTO",2008,8,0.00,1275232.41,14248952.20,"DESPESA",2
"SAUDE",2008,8,0.00,277240678.01,1858378727.36,"DESPESA",2
"SEGURANCA PUBLICA",2008,8,0.00,378270978.77,2816369286.19,"DESPESA",2
"TRABALHO",2008,8,0.00,630802.99,12109921.32,"DESPESA",2
"TRANSPORTE",2008,8,0.00,140118747.64,634460989.84,"DESPESA",2
"URBANISMO",2008,8,0.00,1306090.12,19262937.30,"DESPESA",2
"ADMINISTRACAO",2008,9,0.00,80633194.93,964091089.31,"DESPESA",2
"AGRICULTURA",2008,9,0.00,51577593.40,260287787.13,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,9,0.00,8381848.47,80175946.68,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,9,0.00,20312054.88,133158009.26,"DESPESA",2
"COMERCIO E SERVICOS",2008,9,0.00,19633484.30,146721907.34,"DESPESA",2
"COMUNICACOES",2008,9,0.00,377586.58,78575894.20,"DESPESA",2
"CULTURA",2008,9,0.00,7196224.06,56640588.07,"DESPESA",2
"DESPORTO E LAZER",2008,9,0.00,2933674.41,38646766.82,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,9,0.00,787851.74,7260969.46,"DESPESA",2
"EDUCACAO",2008,9,0.00,387408354.88,3222312553.76,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,9,0.00,1159339212.27,7996988879.66,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,9,0.00,76628622.85,660308072.43,"DESPESA",2
"GESTAO AMBIENTAL",2008,9,0.00,14431830.58,152429048.75,"DESPESA",2
"HABITACAO",2008,9,0.00,13471133.85,57179382.42,"DESPESA",2
"INDUSTRIA",2008,9,0.00,23678135.64,194440032.47,"DESPESA",2
"JUDICIARIA",2008,9,0.00,167588877.15,1600736176.71,"DESPESA",2
"LEGISLATIVA",2008,9,0.00,73653077.59,664616799.04,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,9,0.00,1882502.12,7419574.03,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,9,0.00,290300639.83,3114407101.71,"DESPESA",2
"RELACOES EXTERIORES",2008,9,0.00,3892.50,308514.06,"DESPESA",2
"SANEAMENTO",2008,9,0.00,998533.10,15247485.30,"DESPESA",2
"SAUDE",2008,9,0.00,271485618.92,2129864346.28,"DESPESA",2
"SEGURANCA PUBLICA",2008,9,0.00,516909470.25,3333278756.44,"DESPESA",2
"TRABALHO",2008,9,0.00,2777400.39,14887321.71,"DESPESA",2
"TRANSPORTE",2008,9,0.00,128890943.35,763351933.19,"DESPESA",2
"URBANISMO",2008,9,0.00,877888.86,20140826.16,"DESPESA",2
"ADMINISTRACAO",2008,10,0.00,59668022.57,1023759111.88,"DESPESA",2
"AGRICULTURA",2008,10,0.00,41237344.03,301525131.16,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,10,0.00,9154601.84,89330548.52,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,10,0.00,28644239.57,161802248.83,"DESPESA",2
"COMERCIO E SERVICOS",2008,10,0.00,18811000.45,165532907.79,"DESPESA",2
"COMUNICACOES",2008,10,0.00,318675.52,78894569.72,"DESPESA",2
"CULTURA",2008,10,0.00,4407572.91,61048160.98,"DESPESA",2
"DESPORTO E LAZER",2008,10,0.00,2610617.55,41257384.37,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,10,0.00,1640549.41,8901518.87,"DESPESA",2
"EDUCACAO",2008,10,0.00,354015077.74,3576327631.50,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,10,0.00,877010582.80,8873999462.46,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,10,0.00,68062325.91,728370398.34,"DESPESA",2
"GESTAO AMBIENTAL",2008,10,0.00,23341053.47,175770102.22,"DESPESA",2
"HABITACAO",2008,10,0.00,16118354.53,73297736.95,"DESPESA",2
"INDUSTRIA",2008,10,0.00,24718032.31,219158064.78,"DESPESA",2
"JUDICIARIA",2008,10,0.00,162215296.49,1762951473.20,"DESPESA",2
"LEGISLATIVA",2008,10,0.00,71493182.97,736109982.01,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,10,0.00,1035532.04,8455106.07,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,10,0.00,451179266.36,3565586368.07,"DESPESA",2
"RELACOES EXTERIORES",2008,10,0.00,0.00,308514.06,"DESPESA",2
"SANEAMENTO",2008,10,0.00,866141.64,16113626.94,"DESPESA",2
"SAUDE",2008,10,0.00,269000164.25,2398864510.53,"DESPESA",2
"SEGURANCA PUBLICA",2008,10,0.00,405031747.66,3738310504.10,"DESPESA",2
"TRABALHO",2008,10,0.00,2358570.59,17245892.30,"DESPESA",2
"TRANSPORTE",2008,10,0.00,176328761.42,939680694.61,"DESPESA",2
"URBANISMO",2008,10,0.00,1133754.31,21274580.47,"DESPESA",2
"ADMINISTRACAO",2008,11,0.00,213780508.76,1237539620.64,"DESPESA",2
"AGRICULTURA",2008,11,0.00,81164620.94,382689752.10,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,11,0.00,24223519.33,113554067.85,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,11,0.00,64885641.58,226687890.41,"DESPESA",2
"COMERCIO E SERVICOS",2008,11,0.00,19585238.43,185118146.22,"DESPESA",2
"COMUNICACOES",2008,11,0.00,610109.81,79504679.53,"DESPESA",2
"CULTURA",2008,11,0.00,10814477.47,71862638.45,"DESPESA",2
"DESPORTO E LAZER",2008,11,0.00,5632836.97,46890221.34,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,11,0.00,2460078.67,11361597.54,"DESPESA",2
"EDUCACAO",2008,11,0.00,639778409.90,4216106041.40,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,11,0.00,611289138.38,9485288600.84,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,11,0.00,82238394.36,810608792.70,"DESPESA",2
"GESTAO AMBIENTAL",2008,11,0.00,24048771.31,199818873.53,"DESPESA",2
"HABITACAO",2008,11,0.00,17397528.37,90695265.32,"DESPESA",2
"INDUSTRIA",2008,11,0.00,55312287.91,274470352.69,"DESPESA",2
"JUDICIARIA",2008,11,0.00,178299270.21,1941250743.41,"DESPESA",2
"LEGISLATIVA",2008,11,0.00,83893614.04,820003596.05,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,11,0.00,1530044.12,9985150.19,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,11,0.00,621009550.40,4186595918.47,"DESPESA",2
"RELACOES EXTERIORES",2008,11,0.00,54464.97,362979.03,"DESPESA",2
"SANEAMENTO",2008,11,0.00,-200000.00,15913626.94,"DESPESA",2
"SAUDE",2008,11,0.00,314887545.54,2713752056.07,"DESPESA",2
"SEGURANCA PUBLICA",2008,11,0.00,728478432.15,4466788936.25,"DESPESA",2
"TRABALHO",2008,11,0.00,2256233.54,19502125.84,"DESPESA",2
"TRANSPORTE",2008,11,0.00,165552867.21,1105233561.82,"DESPESA",2
"URBANISMO",2008,11,0.00,1523576.86,22798157.33,"DESPESA",2
"ADMINISTRACAO",2008,12,185743564.52,271022792.35,1508562412.99,"DESPESA",2
"AGRICULTURA",2008,12,88683189.05,96687466.50,479377218.60,"DESPESA",2
"ASSISTENCIA SOCIAL",2008,12,33709487.97,39975533.72,153529601.57,"DESPESA",2
"CIENCIA E TECNOLOGIA",2008,12,78363990.81,86903286.02,313591176.43,"DESPESA",2
"COMERCIO E SERVICOS",2008,12,85877560.07,91528440.17,276646586.39,"DESPESA",2
"COMUNICACOES",2008,12,32556231.63,32899546.21,112404225.74,"DESPESA",2
"CULTURA",2008,12,24365042.72,30856014.99,102718653.44,"DESPESA",2
"DESPORTO E LAZER",2008,12,11802991.53,14462421.76,61352643.10,"DESPESA",2
"DIREITOS DA CIDADANIA",2008,12,4102492.61,5619919.00,16981516.54,"DESPESA",2
"EDUCACAO",2008,12,563487809.78,669247866.00,4885353907.40,"DESPESA",2
"ENCARGOS ESPECIAIS",2008,12,1065470748.86,1078262355.56,10563550956.40,"DESPESA",2
"ESSENCIAL A JUSTICA",2008,12,117709772.51,132584476.79,943193269.49,"DESPESA",2
"GESTAO AMBIENTAL",2008,12,108314698.70,132897058.33,332715931.86,"DESPESA",2
"HABITACAO",2008,12,501904094.42,502579160.85,593274426.17,"DESPESA",2
"INDUSTRIA",2008,12,211612413.47,214186636.20,488656988.89,"DESPESA",2
"JUDICIARIA",2008,12,314078732.14,333210761.60,2274461505.01,"DESPESA",2
"LEGISLATIVA",2008,12,137652853.15,142133873.77,962137469.82,"DESPESA",2
"ORGANIZACAO AGRARIA",2008,12,2890881.62,8180326.32,18165476.51,"DESPESA",2
"PREVIDENCIA SOCIAL",2008,12,512435396.96,519222722.03,4705818640.50,"DESPESA",2
"RELACOES EXTERIORES",2008,12,258661.60,268989.68,631968.71,"DESPESA",2
"SANEAMENTO",2008,12,15388695.45,15517418.24,31431045.18,"DESPESA",2
"SAUDE",2008,12,512938597.73,889584788.61,3603336844.68,"DESPESA",2
"SEGURANCA PUBLICA",2008,12,344484017.79,492289147.33,4959078083.58,"DESPESA",2
"TRABALHO",2008,12,2667966.72,8916318.92,28418444.76,"DESPESA",2
"TRANSPORTE",2008,12,559283192.03,721161962.90,1826395524.72,"DESPESA",2
"URBANISMO",2008,12,31743196.50,34780174.47,57578331.80,"DESPESA",2
"ADMINISTRACAO",2009,1,82738742.43,65160913.74,65160913.74,"DESPESA",2
"AGRICULTURA",2009,1,22180170.16,21584060.05,21584060.05,"DESPESA",2
"ASSISTENCIA SOCIAL",2009,1,5416851.88,5267444.61,5267444.61,"DESPESA",2
"CIENCIA E TECNOLOGIA",2009,1,5523109.39,3302137.58,3302137.58,"DESPESA",2
"COMERCIO E SERVICOS",2009,1,6857185.30,5696707.33,5696707.33,"DESPESA",2
"COMUNICACOES",2009,1,324829.53,279047.93,279047.93,"DESPESA",2
"CULTURA",2009,1,3433172.40,3149862.72,3149862.72,"DESPESA",2
"DESPORTO E LAZER",2009,1,1320809.97,934828.86,934828.86,"DESPESA",2
"DIREITOS DA CIDADANIA",2009,1,209712.96,102780.63,102780.63,"DESPESA",2
"EDUCACAO",2009,1,315110892.04,300755247.67,300755247.67,"DESPESA",2
"ENCARGOS ESPECIAIS",2009,1,1106866654.77,1044434482.20,1044434482.20,"DESPESA",2
"ENERGIA",2009,1,985.00,918.51,918.51,"DESPESA",2
"ESSENCIAL A JUSTICA",2009,1,69239581.40,65506627.59,65506627.59,"DESPESA",2
"GESTAO AMBIENTAL",2009,1,8793192.30,5996464.01,5996464.01,"DESPESA",2
"HABITACAO",2009,1,9942186.96,9340039.21,9340039.21,"DESPESA",2
